EventId,EventTemplate,Occurrences
b01ee4a8,SYSTEM INFORMATION BLOCK TYPE1,112
e7ed9071,SYSTEM INFORMATION,106
19f1ee84,RRC CONNECTION <*>,80
5a9160d8,RRC CONNECTION <*> COMPLETE,40
8a785984,TRACKING AREA UPDATE REQUEST,14
8731ff20,DL INFORMATION TRANSFER,38
c7258716,IDENTITY <*>,32
8c18cf06,UL INFORMATION TRANSFER,38
d569b07b,ATTACH <*>,13
6577c5e3,AUTHENTICATION <*>,12
8883b77f,SIB5: F: <*> P: <*>,11
b9fd3309,SECURITY MODE <*>,27
393173e2,EPS MOBILITY MANAGEMENT MESSAGES,33
7bc5722c,UE CAPABILITY <*>,20
0a2f5089,PAGING,140
cf3d0438,MEASUREMENT REPORT: RSRP: <*> RSRQ: <*> NEIGH: {0},2
db87495a,UE INFORMATION <*>,4
