EventId,EventTemplate,Occurrences
a7feadbb,SUBSEQUENT SEGMENT,61
26dd3cb6,COMPLETE SIB- LIST,190
d51f2c9d,LAST SEGMENT SHORT,31
8cf37edf,NO SEGMENT,33
b01ee4a8,SYSTEM INFORMATION BLOCK TYPE1,102
e7ed9071,SYSTEM INFORMATION,121
19f1ee84,RRC CONNECTION <*>,33
1277f64c,RRC CONNECTION SETUP COMPLETE,11
d569b07b,ATTACH <*>,14
8731ff20,DL INFORMATION TRANSFER,11
0a2f5089,PAGING,1
474cb5df,FIRST SEGMENT,29
6577c5e3,AUTHENTICATION <*>,6
8c18cf06,UL INFORMATION TRANSFER,6
c7258716,IDENTITY <*>,8
